name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
ratio_quantity.East of England,2,31,31,31,31,31,3.126983071043213e-4,0.010630162974716431,0.5277777777777778,0.02910343650174726,0.04036057555750272,-0.011257139055755459,-0.3867975884937032
ratio_quantity.London,2,31,31,31,31,31,1.4950767124217307e-4,0.007027547961470146,0.5277777777777778,0.021125006862401284,0.026507283027119577,-0.005382276164718293,-0.2547822208899623
ratio_quantity.Midlands,2,31,31,31,31,31,3.057223122505427e-4,0.00940787654455943,0.5277777777777778,0.03219069819268707,0.043196701433706575,-0.011006003241019503,-0.34190010962607187
ratio_quantity.North East and Yorkshire,2,31,31,31,31,31,2.947208113241208e-4,0.007657548009826499,0.5277777777777778,0.03819290093729857,0.04880285014496699,-0.010609949207668425,-0.27779898743713705
ratio_quantity.North West,2,31,31,31,31,31,2.9538643082204635e-4,0.008928422008056614,0.5277777777777778,0.03278844748243862,0.043422358992032284,-0.010633911509593662,-0.32431884782861853
ratio_quantity.South East,2,31,31,31,31,31,2.0429264413260144e-4,0.00897687631843303,0.5277777777777778,0.02255336123075804,0.029907896419531732,-0.0073545351887736934,-0.32609486069613675
ratio_quantity.South West,2,31,31,31,31,31,3.1993417673672683e-4,0.010837160403284652,0.5277777777777778,0.029202022205837206,0.04071965256835941,-0.011517630362522204,-0.3944120815105722
