name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
ratio_quantity.East of England,15,15,15,15,15,21,2.3983366568075445e-4,1.4422793904994293,0.5838614828013521,2.4560297590295825e-6,0.003288628147570792,-0.0032861721178117625,-1338.0017508868389
ratio_quantity.London,15,15,15,15,15,23,1.4613725860840974e-4,2.9297238251899484,0.5192971878323217,1.1349907142269556e-6,0.0019710297527655413,-0.0019698947620513142,-1735.6042982193148
ratio_quantity.Midlands,1,15,15,15,15,15,2.502357214160259e-4,0.9716689877450465,0.5333333333333333,7.296138272887531e-6,0.0037608319595132758,-0.0037535358212403883,-514.455137889661
ratio_quantity.North East and Yorkshire,15,15,15,15,15,18,2.635563225546961e-4,1.3591539085151743,0.5005339273518107,3.2794568824758553e-6,0.003689132017654346,-0.0036858525607718702,-1123.9216409484252
ratio_quantity.North West,15,15,15,15,15,21,2.468349354198078e-4,1.8637450134160838,0.5845039911188415,2.5723978983215197e-6,0.0033809573419918337,-0.003378384944093512,-1313.3212969493934
ratio_quantity.South East,15,15,15,15,15,15,2.767023472562367e-4,1.1775935484254452,0.5208333655167302,3.527915541978492e-6,0.003722407232868355,-0.0037188793173263766,-1054.1293500583038
ratio_quantity.South West,15,14,14,14,14,15,2.854262023045119e-4,0.08681878373074739,0.5242828794510036,0.0031156568913744778,0.0038082263152194743,-6.925694238449965e-4,-0.22228680756290473
