name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
ratio_quantity.East of England,3,17,17,17,17,30,-7.248595938525563e-5,-2.935626209313383,4.113639760555006,2.0635355901708574e-5,3.014474248358434e-6,1.762088165335014e-5,0.8539170217021147
ratio_quantity.London,15,17,17,17,17,30,-2.041103730239947e-5,-1.083928135943928,3.19251610523889,8.4212066845226e-6,2.02780516999143e-6,6.39340151453117e-6,0.759202541160954
ratio_quantity.Midlands,15,17,17,17,17,30,-6.576109295693913e-5,-1.405188563411875,3.3346692304418046,2.703208900531894e-5,7.311664455677408e-6,1.9720424549641534e-5,0.7295190743771695
ratio_quantity.North East and Yorkshire,15,17,17,17,17,30,-8.70390098943696e-5,-1.3524017320860195,3.3287658254313253,3.7171432287281574e-5,1.1023900601693244e-5,2.614753168558833e-5,0.7034308359039171
ratio_quantity.North West,15,17,17,17,17,30,-1.3216725906180847e-4,-1.5135947523398394,3.007770086044859,5.091191032697976e-5,6.969968196820359e-6,4.39419421301594e-5,0.8630974922752651
ratio_quantity.South East,3,17,17,17,17,30,-5.604457185148697e-5,-2.67231964280094,4.501092616608161,1.8084181927177565e-5,5.632855854771591e-6,1.2451326072405974e-5,0.6885202837787021
ratio_quantity.South West,15,17,17,17,17,30,-1.1639590993009588e-4,-1.4116883174398638,5.050833638639644,5.473492816190253e-5,3.169003730672782e-5,2.304489085517471e-5,0.42102715083519154
